depth,timespan
0.9479998,1.9985
0.9499999,1.9996
0.9519999,0.9999
0.9539999,2.0006
0.9559999,0.9995
0.9579999,1.9986
0.9599999,1.9991
0.9619999,1.9995
0.9639999,1.9975
0.9659999,0.9998
0.9679999,2.0009
0.9699999,1.9986
0.9719999,1.9956
0.9739999,0.9991
0.976,1.9979
0.9779999,2.0005
0.9799999,0.9987
0.9819999,1.8025
0.984,0.9992
0.9859999,0.9995
0.9879999,1.0074
0.9899999,1.9987
0.992,0.9996
0.994,0.9993
0.9959999,1.9996
0.998,1.998
1,1.5053
1.002,1.9988
1.004,1.9988
1.006,1.9975
1.008,0.9998
1.01,1.9993
1.012,1.9963
1.014,1.9985
1.016,2.1991
1.018,2.0021
1.02,1.9993
1.022,1.0059
1.024,1.9983
1.026,0.9997
1.028,1.9985
1.03,1.9996
1.032,0.9992
1.034,1.9983
1.036,0.9998
1.038,1.0002
1.039999,1.9985
1.041999,0.9994
1.043999,1.999
1.045999,0.9986
1.047999,1.9425
1.049999,1.9999
1.051999,0.9993
1.053999,0.9998
1.055999,0.9988
1.057999,2.0069
1.059999,0.9974
1.061999,0.999
1.063999,0.9975
1.065999,1.9986
1.067999,0.9994
1.069999,1.999
1.071999,0.9997
1.073999,1.0021
1.075999,0.9999
1.077999,1
1.079999,0.9991
1.081999,0.9986
1.083999,1.0001
1.085999,1.9991
1.087999,1.9991
1.089999,0.9994
1.091999,1.9985
1.093999,1.9998
1.095999,1.9985
1.097999,0.9995
1.099999,0.9962
1.101999,0.999
1.103999,1.9984
1.105999,1.9989
1.107999,0.9986
1.109999,0.9994
1.111999,1.998
1.113999,0.9993
1.115999,0.9995
1.117998,1.9972
1.119998,0.999
1.121998,0.9994
1.123998,1.9992
1.125998,1.9985
1.127998,0.9995
1.129998,1.5048
1.131998,0.9991
1.133998,1.9978
1.135998,0.9992
1.137998,0.9998
1.139998,0.9992
1.141998,1.9992
1.143998,2.0002
1.145998,0.9995
1.147998,1.9978
1.149998,1.9996
1.151998,2.0005
1.153998,1.0009
1.155998,1.0003
1.157998,1.9983
1.159998,0.9994
1.161998,0.9983
